;product;area;room;bath;garage;adress;price
26;Ponto comercial/Loja/Box para Aluguel, 31m²;112 m²;-- Quarto;-- Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 2.795 /mês
27;Apartamento com Quarto para Aluguel, 30m²;112;1 Quarto;1 Banheiro;-- Vaga;Rua Ambrósio João Silveira, 120 - Morro das Pedras, Florianópolis - SC;R$ 1.400 /mês
28;Casa com 2 Quartos para Aluguel, 65m²;29 m²;2 Quartos;2 Banheiros;1 Vaga;Rua José Cupertino da Silva - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 2.100 /mês
29;Sala/Conjunto para Aluguel, 38m²;29;-- Quarto;1 Banheiro;1 Vaga;Centro, Florianópolis - SC;R$ 1.550 /mês
30;Imóvel comercial para Aluguel, 64m²;150 m²;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 4.168 /mês
31;Apartamento com Quarto para Aluguel, 38m²;150;1 Quarto;1 Banheiro;-- Vaga;Rua Vidal Ramos - Centro, Florianópolis - SC;R$ 1.090 /mês
32;Sala/Conjunto para Aluguel, 62m²;101 m²;-- Quarto;3 Banheiros;3 Vagas;Rua Antônio Rocca - Santa Mônica, Florianópolis - SC;R$ 2.350 /mês
33;Imóvel comercial para Aluguel, 34m²;101;-- Quarto;1 Banheiro;2 Vagas;Canto, Florianópolis - SC;R$ 1.725 /mês
34;Ponto comercial/Loja/Box para Aluguel, 140m²;80 m²;-- Quarto;-- Banheiro;-- Vaga;Rodovia Jornalista Manoel de Menezes, 631 - Barra da Lagoa, Florianópolis - SC;R$ 13.000 /mês
35;Apartamento com 3 Quartos para Venda/Aluguel 90m²;80;3 Quartos;2 Banheiros;2 Vagas;Rua dos Cambuatas, 194 - Jurerê, Florianópolis - SC;"R$ 9.000 /mês
R$ 1.200.000"
0;Apartamento com 3 Quartos para Aluguel, 72m²;72 m²;3 Quartos;2 Banheiros;1 Vaga;Saco dos Limões, Florianópolis - SC;R$ 2.350 /mês
1;Imóvel comercial para Aluguel, 24m²;72;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 1.461 /mês
2;Apartamento com Quarto para Aluguel, 57m²;24 m²;1 Quarto;1 Banheiro;-- Vaga;Rua Felipe Schmidt - Centro, Florianópolis - SC;R$ 1.300 /mês
3;Apartamento com 3 Quartos para Aluguel, 155m²;24;3 Quartos;2 Banheiros;1 Vaga;Rodovia João Paulo, 710 - Joao Paulo, Florianópolis - SC;R$ 3.100 /mês
4;Imóvel comercial para Aluguel, 62m²;57 m²;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 4.349 /mês
5;Imóvel comercial para Aluguel, 62m²;57;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 4.038 /mês
6;Apartamento com 3 Quartos para Aluguel, 125m²;155 m²;3 Quartos;3 Banheiros;2 Vagas;Jardim Atlântico, Florianópolis - SC;R$ 5.413 /mês
7;Casa para Aluguel, 436m²;155;-- Quarto;5 Banheiros;6 Vagas;Jurerê Internacional, Florianópolis - SC;R$ 22.000 /mês
8;Apartamento com 3 Quartos para Aluguel, 105m²;62 m²;3 Quartos;2 Banheiros;2 Vagas;Rua Acary Margarida, 522 - Canasvieiras, Florianópolis - SC;R$ 1.000 /dia
9;Apartamento com 3 Quartos para Aluguel, 119m²;62;3 Quartos;3 Banheiros;1 Vaga;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 850 /dia
10;Apartamento com 2 Quartos para Aluguel, 63m²;62 m²;2 Quartos;1 Banheiro;1 Vaga;Avenida Governador Ivo Silveira, 2155 - Capoeiras, Florianópolis - SC;R$ 1.150 /mês
11;Cobertura com 3 Quartos para Aluguel, 180m²;62;3 Quartos;2 Banheiros;2 Vagas;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 1.295 /dia
12;Casa com 3 Quartos para Aluguel, 10m²;125 m²;3 Quartos;4 Banheiros;2 Vagas;Rua Fernandes Francisco Coutinho - Canasvieiras, Florianópolis - SC;R$ 1.600 /dia
13;Apartamento com Quarto para Aluguel, 77m²;125;1 Quarto;1 Banheiro;1 Vaga;Rua Rodolfo Hickel, 257 - Canasvieiras, Florianópolis - SC;R$ 400 /dia
14;Casa com 4 Quartos para Aluguel, 340m²;436 m²;4 Quartos;4 Banheiros;4 Vagas;Rua Deputado Paulo Preis - Jurerê Internacional, Florianópolis - SC;R$ 2.000 /dia
15;Ponto comercial/Loja/Box para Aluguel, 46m²;436;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 3.705 /mês
16;Apartamento com 2 Quartos para Aluguel, 75m²;105 m²;2 Quartos;2 Banheiros;1 Vaga;Servidão Cisne Real, 144 - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 265 /dia
17;Apartamento com 2 Quartos para Aluguel, 64m²;105;2 Quartos;2 Banheiros;1 Vaga;Rua Graciliano Manoel Gomes, 25 - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 1.600 /mês
18;Imóvel comercial para Aluguel, 24m²;119 m²;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 1.339 /mês
19;Ponto comercial/Loja/Box para Aluguel, 59m²;119;-- Quarto;1 Banheiro;-- Vaga;Rua Deputado Paulo Preis, 78 - Jurerê, Florianópolis - SC;R$ 5.000 /mês
20;Loft com Quarto para Aluguel, 44m²;63 m²;1 Quarto;1 Banheiro;1 Vaga;Rua Professor Bayer Filho, 60 - Coqueiros, Florianópolis - SC;R$ 1.650 /mês
21;Casa com 4 Quartos para Aluguel, 280m²;63;4 Quartos;1 Banheiro;5 Vagas;Coqueiros, Florianópolis - SC;R$ 10.000 /mês
22;Apartamento com Quarto para Aluguel, 45m²;180 m²;1 Quarto;1 Banheiro;1 Vaga;Rua Canto da Amizade - Lagoa da Conceição, Florianópolis - SC;R$ 2.000 /mês
23;Sala/Conjunto para Venda/Aluguel 60m²;180;-- Quarto;-- Banheiro;-- Vaga;Trindade, Florianópolis - SC;"R$ 4.000 /mês
R$ 736.000"
24;Imóvel comercial para Aluguel, 39m²;10 m²;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 2.197 /mês
25;Apartamento com 2 Quartos para Aluguel, 65m²;10;2 Quartos;2 Banheiros;1 Vaga;Centro, Florianópolis - SC;R$ 2.880 /mês
26;Apartamento com 2 Quartos para Aluguel, 75m²;77 m²;2 Quartos;2 Banheiros;1 Vaga;Rua das Gaivotas - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 400 /dia
27;Casa com 4 Quartos para Venda/Aluguel 218m²;77;4 Quartos;5 Banheiros;2 Vagas;Servidão Oscar João Costa, 217 - Joao Paulo, Florianópolis - SC;"R$ 6.000 /mês
R$ 1.500.000"
28;Sala/Conjunto para Aluguel, 91m²;340 m²;-- Quarto;2 Banheiros;2 Vagas;Avenida Almirante Tamandaré - Coqueiros, Florianópolis - SC;R$ 3.115 /mês
29;Galpão/Depósito/Armazém para Aluguel, 1010m²;340;-- Quarto;6 Banheiros;19 Vagas;Capoeiras, Florianópolis - SC;R$ 25.000 /mês
30;Imóvel comercial para Aluguel, 34m²;46 m²;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 1.725 /mês
31;Ponto comercial/Loja/Box para Aluguel, 50m²;46;-- Quarto;1 Banheiro;2 Vagas;Servidão Calêndula - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 3.500 /mês
32;Apartamento com 4 Quartos para Aluguel, 226m²;75 m²;4 Quartos;1 Banheiro;3 Vagas;Beira Mar, Florianópolis - SC;R$ 15.000 /mês
33;Cobertura com 3 Quartos para Aluguel, 378m²;75;3 Quartos;1 Banheiro;2 Vagas;Centro, Florianópolis - SC;R$ 16.000 /mês
34;Sala/Conjunto à Venda/Aluguel 51m²;64 m²;-- Quarto;1 Banheiro;-- Vaga;Rua João Pinto, 30 - Centro, Florianópolis - SC;"R$ 900 /mês
R$ 159.000.000"
35;Imóvel comercial para Aluguel, 32m²;64;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 1.639 /mês
0;Apartamento com 4 Quartos para Aluguel, 226m²;226 m²;4 Quartos;1 Banheiro;3 Vagas;Beira Mar, Florianópolis - SC;R$ 15.000 /mês
1;Cobertura com 3 Quartos para Aluguel, 208m²;226;3 Quartos;3 Banheiros;2 Vagas;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 900 /dia
2;Cobertura com 3 Quartos para Aluguel, 378m²;208 m²;3 Quartos;1 Banheiro;2 Vagas;Centro, Florianópolis - SC;R$ 16.000 /mês
3;Sala/Conjunto à Venda/Aluguel 51m²;208;-- Quarto;1 Banheiro;-- Vaga;Rua João Pinto, 30 - Centro, Florianópolis - SC;"R$ 900 /mês
R$ 159.000.000"
4;Imóvel comercial para Aluguel, 32m²;378 m²;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 1.639 /mês
5;Apartamento com Quarto para Aluguel, 54m²;378;1 Quarto;1 Banheiro;1 Vaga;Rua General Estilac Leal - Coqueiros, Florianópolis - SC;R$ 1.700 /mês
6;Apartamento com 3 Quartos para Aluguel, 94m²;51 m²;3 Quartos;2 Banheiros;2 Vagas;Saco Grande, Florianópolis - SC;R$ 3.800 /mês
7;Apartamento com 2 Quartos para Aluguel, 100m²;51;2 Quartos;1 Banheiro;1 Vaga;Trindade, Florianópolis - SC;R$ 1.500 /mês
8;Ponto comercial/Loja/Box para Aluguel, 47m²;32 m²;-- Quarto;1 Banheiro;1 Vaga;Centro, Florianópolis - SC;R$ 2.900 /mês
9;Ponto comercial/Loja/Box para Aluguel, 156m²;32;-- Quarto;1 Banheiro;1 Vaga;Agronômica, Florianópolis - SC;R$ 12.110 /mês
10;Ponto comercial/Loja/Box para Aluguel, 134m²;54 m²;-- Quarto;1 Banheiro;1 Vaga;Agronômica, Florianópolis - SC;R$ 14.140 /mês
11;Ponto comercial/Loja/Box para Aluguel, 139m²;54;-- Quarto;2 Banheiros;1 Vaga;Santo Antônio de Lisboa, Florianópolis - SC;R$ 6.681 /mês
12;Apartamento com 2 Quartos para Aluguel, 55m²;94 m²;2 Quartos;1 Banheiro;1 Vaga;Rua Capitão Romualdo de Barros - Carvoeira, Florianópolis - SC;R$ 1.450 /mês
13;Imóvel comercial com 2 Quartos para Aluguel, 950m²;94;2 Quartos;2 Banheiros;5 Vagas;Centro, Florianópolis - SC;R$ 19.000 /mês
14;Sala/Conjunto com 3 Quartos para Aluguel, 41m²;100 m²;3 Quartos;1 Banheiro;-- Vaga;Rua Idalina Pereira dos Santos, 67 - Agronômica, Florianópolis - SC;R$ 2.200 /mês
15;Imóvel comercial para Aluguel, 697m²;100;-- Quarto;9 Banheiros;2 Vagas;Rua Itararé - Parque São Jorge, Florianópolis - SC;R$ 15.000 /mês
16;Apartamento com 3 Quartos para Aluguel, 98m²;47 m²;3 Quartos;2 Banheiros;2 Vagas;Centro, Florianópolis - SC;R$ 7.300 /mês
17;Casa de condomínio com 6 Quartos para Aluguel, 450m²;47;6 Quartos;7 Banheiros;4 Vagas;Rodovia Admar Gonzaga, 3465 - Itacorubi, Florianópolis - SC;R$ 18.000 /mês
18;Casa com 3 Quartos para Aluguel, 220m²;156 m²;3 Quartos;1 Banheiro;2 Vagas;Rio Tavares, Florianópolis - SC;R$ 6.800 /mês
19;Sala/Conjunto para Aluguel, 30m²;156;-- Quarto;-- Banheiro;1 Vaga;Centro, Florianópolis - SC;R$ 1.700 /mês
20;Apartamento com Quarto para Aluguel, 40m²;134 m²;1 Quarto;1 Banheiro;1 Vaga;Rua Doutor João de Oliveira, 300 - Canasvieiras, Florianópolis - SC;R$ 350 /dia
21;Imóvel comercial para Aluguel, 64m²;134;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 3.847 /mês
22;Apartamento com 3 Quartos para Aluguel, 105m²;139 m²;3 Quartos;2 Banheiros;2 Vagas;Canasvieiras, Florianópolis - SC;R$ 1.300 /dia
23;Casa com 5 Quartos para Aluguel, 258m²;139;5 Quartos;3 Banheiros;4 Vagas;Rua Douglas Seabra Levier - Trindade, Florianópolis - SC;R$ 11.000 /mês
24;Sala/Conjunto para Aluguel, 43m²;55 m²;-- Quarto;1 Banheiro;1 Vaga;Rua General Liberato Bittencourt - Balneário, Florianópolis - SC;R$ 1.800 /mês
25;Sala/Conjunto para Aluguel, 69m²;55;-- Quarto;1 Banheiro;1 Vaga;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 2.740 /mês
26;Apartamento com 2 Quartos para Aluguel, 69m²;950 m²;2 Quartos;2 Banheiros;1 Vaga;Rua João Meirelles, 1416 - Abraão, Florianópolis - SC;R$ 2.750 /mês
27;Imóvel comercial com 5 Quartos para Aluguel, 400m²;950;5 Quartos;1 Banheiro;15 Vagas;Jardim Atlântico, Florianópolis - SC;R$ 23.000 /mês
28;Sala/Conjunto para Aluguel, 270m²;41 m²;-- Quarto;2 Banheiros;-- Vaga;Rua Madre Maria Vilac - Canasvieiras, Florianópolis - SC;R$ 10.000 /mês
29;Apartamento com 2 Quartos para Aluguel, 75m²;41;2 Quartos;2 Banheiros;1 Vaga;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 550 /dia
30;Apartamento com 3 Quartos para Aluguel, 96m²;697 m²;3 Quartos;2 Banheiros;1 Vaga;Rua Crispim Mira - Centro, Florianópolis - SC;R$ 2.250 /mês
31;Apartamento com 2 Quartos para Aluguel, 68m²;697;2 Quartos;2 Banheiros;1 Vaga;Rua Madre Maria Vilac, 370 - Canasvieiras, Florianópolis - SC;R$ 400 /dia
32;Apartamento com 3 Quartos para Aluguel, 139m²;98 m²;3 Quartos;1 Banheiro;3 Vagas;Agronômica, Florianópolis - SC;R$ 8.000 /mês
33;Imóvel comercial para Aluguel, 212m²;98;-- Quarto;3 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 3.000 /mês
34;Apartamento com Quarto para Aluguel, 45m²;450 m²;1 Quarto;1 Banheiro;-- Vaga;Pantanal, Florianópolis - SC;R$ 1.150 /mês
35;Imóvel comercial para Aluguel, 791m²;450;-- Quarto;2 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 29.979 /mês
0;Imóvel comercial para Aluguel, 24m²;24 m²;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 1.461 /mês
1;Sala/Conjunto para Aluguel, 38m²;24;-- Quarto;1 Banheiro;1 Vaga;Rua Lauro Linhares, 2053 - Trindade, Florianópolis - SC;R$ 1.350 /mês
2;Ponto comercial/Loja/Box para Aluguel, 48m²;38 m²;-- Quarto;1 Banheiro;6 Vagas;Rodovia Doutor Antônio Luiz Moura Gonzaga, 4180 - Rio Tavares, Florianópolis - SC;R$ 5.000 /mês
3;Casa com 4 Quartos para Aluguel, 500m²;38;4 Quartos;5 Banheiros;5 Vagas;Avenida dos Dourados - Jurerê Internacional, Florianópolis - SC;R$ 5.000 /dia
4;Apartamento com 3 Quartos para Aluguel, 170m²;48 m²;3 Quartos;5 Banheiros;-- Vaga;Ponta das Canas, Florianópolis - SC;R$ 1.800 /dia
5;Apartamento com 3 Quartos para Aluguel, 87m²;48;3 Quartos;2 Banheiros;1 Vaga;Rua Berta Lutz - Cachoeira do Bom Jesus, Florianópolis - SC;R$ 850 /dia
6;Imóvel comercial para Aluguel, 70m²;500 m²;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 3.512 /mês
7;Casa com 5 Quartos para Aluguel, 320m²;500;5 Quartos;1 Banheiro;4 Vagas;Rua das Manjubas, 015 - Jurerê Internacional, Florianópolis - SC;R$ 16.000 /mês
8;Apartamento com 3 Quartos para Venda/Aluguel 103m²;170 m²;3 Quartos;3 Banheiros;2 Vagas;Rodovia Virgílio Várzea, 1510 - Saco Grande, Florianópolis - SC;"R$ 5.500 /mês
R$ 830.000"
9;Apartamento com 3 Quartos para Aluguel, 120m²;170;3 Quartos;4 Banheiros;2 Vagas;Cachoeira do Bom Jesus, Florianópolis - SC;R$ 1.550 /dia
10;Casa com 9 Quartos para Aluguel, 430m²;87 m²;9 Quartos;1 Banheiro;5 Vagas;Jurerê Internacional, Florianópolis - SC;R$ 25.000 /mês
11;Imóvel comercial para Aluguel, 3000m²;87;-- Quarto;10 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 219.000 /mês
12;Ponto comercial/Loja/Box para Aluguel, 18m²;70 m²;-- Quarto;-- Banheiro;-- Vaga;Rua Waldemar Ouriques, 584 - Capoeiras, Florianópolis - SC;R$ 850 /mês
13;Apartamento com Quarto para Aluguel, 28m²;70;1 Quarto;1 Banheiro;-- Vaga;Carvoeira, Florianópolis - SC;R$ 1.000 /mês
14;Casa com 3 Quartos para Aluguel, 313m²;320 m²;3 Quartos;4 Banheiros;4 Vagas;Jurerê Internacional, Florianópolis - SC;R$ 16.000 /mês
15;Apartamento com 3 Quartos para Aluguel, 80m²;320;3 Quartos;2 Banheiros;1 Vaga;Rua General Bittencourt - Centro, Florianópolis - SC;R$ 1.520 /mês
16;Imóvel comercial para Aluguel, 65m²;103 m²;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 4.877 /mês
17;Apartamento com 2 Quartos para Aluguel, 100m²;103;2 Quartos;1 Banheiro;1 Vaga;Trindade, Florianópolis - SC;R$ 1.500 /mês
18;Ponto comercial/Loja/Box para Venda/Aluguel 685m²;120 m²;-- Quarto;4 Banheiros;-- Vaga;Rua Francisco Tolentino, 800 - Centro, Florianópolis - SC;"R$ 10.000 /mês
R$ 2.700.000"
19;Galpão/Depósito/Armazém para Aluguel, 250m²;120;-- Quarto;2 Banheiros;10 Vagas;Saco Grande, Florianópolis - SC;R$ 20.000 /mês
20;Imóvel comercial para Aluguel, 64m²;430 m²;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 3.527 /mês
21;Apartamento com 3 Quartos para Aluguel, 81m²;430;3 Quartos;2 Banheiros;2 Vagas;Centro, Florianópolis - SC;R$ 4.200 /mês
22;Apartamento com 3 Quartos para Aluguel, 116m²;3000 m²;3 Quartos;2 Banheiros;1 Vaga;Servidão Maria de Oliveira Nunes - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 450 /dia
23;Imóvel comercial para Aluguel, 2824m²;3000;-- Quarto;1 Banheiro;11 Vagas;Centro, Florianópolis - SC;R$ 80.000 /mês
24;Sala/Conjunto para Aluguel, 73m²;18 m²;-- Quarto;1 Banheiro;1 Vaga;Rua Vera Linhares de Andrade - Córrego Grande, Florianópolis - SC;R$ 2.900 /mês
25;Ponto comercial/Loja/Box para Aluguel, 56m²;18;-- Quarto;1 Banheiro;1 Vaga;Centro, Florianópolis - SC;R$ 2.800 /mês
26;Apartamento com 3 Quartos para Aluguel, 93m²;28 m²;3 Quartos;3 Banheiros;2 Vagas;Trindade, Florianópolis - SC;R$ 2.800 /mês
27;Sala/Conjunto para Aluguel, 52m²;28;-- Quarto;1 Banheiro;-- Vaga;Avenida Prefeito Osmar Cunha - Centro, Florianópolis - SC;R$ 1.150 /mês
28;Casa com 5 Quartos para Aluguel, 320m²;313 m²;5 Quartos;1 Banheiro;4 Vagas;Jurerê Internacional, Florianópolis - SC;R$ 16.000 /mês
29;Apartamento com 2 Quartos para Aluguel, 82m²;313;2 Quartos;2 Banheiros;1 Vaga;Rua Olavo Bilac, 116 - Estreito, Florianópolis - SC;R$ 2.500 /mês
30;Cobertura com 2 Quartos para Aluguel, 120m²;80 m²;2 Quartos;1 Banheiro;1 Vaga;Jurerê, Florianópolis - SC;R$ 5.500 /mês
31;Ponto comercial/Loja/Box para Aluguel, 60m²;80;-- Quarto;2 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 2.400 /mês
32;Apartamento com 3 Quartos para Aluguel, 98m²;65 m²;3 Quartos;3 Banheiros;2 Vagas;Avenida Engenheiro Max de Souza - Coqueiros, Florianópolis - SC;R$ 2.900 /mês
33;Casa com Quarto para Aluguel, 166m²;65;1 Quarto;3 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 7.000 /mês
34;Cobertura com 4 Quartos para Aluguel, 792m²;100 m²;4 Quartos;7 Banheiros;6 Vagas;Avenida Jornalista Rubens de Arruda Ramos, 1010 - Beira Mar, Florianópolis - SC;R$ 12.000 /mês
35;Casa com 4 Quartos à Venda/Aluguel 187m²;100;4 Quartos;2 Banheiros;2 Vagas;Lagoinha do Norte, Florianópolis - SC;"R$ 1.400 /dia
R$ 1.500.000"
0;Apartamento com 3 Quartos para Aluguel, 87m²;87 m²;3 Quartos;2 Banheiros;1 Vaga;Rua Berta Lutz - Cachoeira do Bom Jesus, Florianópolis - SC;R$ 850 /dia
1;Imóvel comercial para Aluguel, 70m²;87;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 3.512 /mês
2;Casa com 5 Quartos para Aluguel, 320m²;70 m²;5 Quartos;1 Banheiro;4 Vagas;Rua das Manjubas, 015 - Jurerê Internacional, Florianópolis - SC;R$ 16.000 /mês
3;Casa com 9 Quartos para Aluguel, 430m²;70;9 Quartos;1 Banheiro;5 Vagas;Jurerê Internacional, Florianópolis - SC;R$ 25.000 /mês
4;Imóvel comercial para Aluguel, 3000m²;320 m²;-- Quarto;10 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 219.000 /mês
5;Apartamento com Quarto para Aluguel, 40m²;320;1 Quarto;1 Banheiro;1 Vaga;Ponta das Canas, Florianópolis - SC;R$ 250 /dia
6;Ponto comercial/Loja/Box para Aluguel, 18m²;430 m²;-- Quarto;-- Banheiro;-- Vaga;Rua Waldemar Ouriques, 584 - Capoeiras, Florianópolis - SC;R$ 850 /mês
7;Casa com 3 Quartos para Aluguel, 313m²;430;3 Quartos;4 Banheiros;4 Vagas;Jurerê Internacional, Florianópolis - SC;R$ 16.000 /mês
8;Imóvel comercial para Aluguel, 65m²;3000 m²;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 4.877 /mês
9;Galpão/Depósito/Armazém para Aluguel, 250m²;3000;-- Quarto;2 Banheiros;10 Vagas;Saco Grande, Florianópolis - SC;R$ 20.000 /mês
10;Imóvel comercial para Aluguel, 64m²;40 m²;-- Quarto;1 Banheiro;1 Vaga;Canto, Florianópolis - SC;R$ 3.527 /mês
11;Casa com 7 Quartos para Aluguel, 250m²;40;7 Quartos;4 Banheiros;4 Vagas;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 2.500 /dia
12;Imóvel comercial para Aluguel, 2824m²;18 m²;-- Quarto;1 Banheiro;11 Vagas;Centro, Florianópolis - SC;R$ 80.000 /mês
13;Sala/Conjunto para Aluguel, 73m²;18;-- Quarto;1 Banheiro;1 Vaga;Rua Vera Linhares de Andrade - Córrego Grande, Florianópolis - SC;R$ 2.900 /mês
14;Apartamento com 2 Quartos para Aluguel, 68m²;313 m²;2 Quartos;1 Banheiro;1 Vaga;Rua Apóstolo Paschoal, 794 - Canasvieiras, Florianópolis - SC;R$ 600 /dia
15;Ponto comercial/Loja/Box para Aluguel, 56m²;313;-- Quarto;1 Banheiro;1 Vaga;Centro, Florianópolis - SC;R$ 2.800 /mês
16;Apartamento com 2 Quartos para Aluguel, 117m²;65 m²;2 Quartos;2 Banheiros;2 Vagas;Rua dos Canudos - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 2.700 /mês
17;Apartamento com 3 Quartos para Aluguel, 93m²;65;3 Quartos;3 Banheiros;2 Vagas;Trindade, Florianópolis - SC;R$ 2.800 /mês
18;Sala/Conjunto para Aluguel, 52m²;250 m²;-- Quarto;1 Banheiro;-- Vaga;Avenida Prefeito Osmar Cunha - Centro, Florianópolis - SC;R$ 1.150 /mês
19;Casa com 5 Quartos para Aluguel, 320m²;250;5 Quartos;1 Banheiro;4 Vagas;Jurerê Internacional, Florianópolis - SC;R$ 16.000 /mês
20;Apartamento com 2 Quartos para Aluguel, 82m²;64 m²;2 Quartos;2 Banheiros;1 Vaga;Rua Olavo Bilac, 116 - Estreito, Florianópolis - SC;R$ 2.500 /mês
21;Cobertura com 2 Quartos para Aluguel, 120m²;64;2 Quartos;1 Banheiro;1 Vaga;Jurerê, Florianópolis - SC;R$ 5.500 /mês
22;Ponto comercial/Loja/Box para Aluguel, 60m²;250 m²;-- Quarto;2 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 2.400 /mês
23;Apartamento com 3 Quartos para Aluguel, 98m²;250;3 Quartos;3 Banheiros;2 Vagas;Avenida Engenheiro Max de Souza - Coqueiros, Florianópolis - SC;R$ 2.900 /mês
24;Casa com Quarto para Aluguel, 166m²;2824 m²;1 Quarto;3 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 7.000 /mês
25;Cobertura com 4 Quartos para Aluguel, 792m²;2824;4 Quartos;7 Banheiros;6 Vagas;Avenida Jornalista Rubens de Arruda Ramos, 1010 - Beira Mar, Florianópolis - SC;R$ 12.000 /mês
26;Casa com 4 Quartos à Venda/Aluguel 187m²;73 m²;4 Quartos;2 Banheiros;2 Vagas;Lagoinha do Norte, Florianópolis - SC;"R$ 1.400 /dia
R$ 1.500.000"
27;Casa com 2 Quartos para Aluguel, 80m²;73;2 Quartos;1 Banheiro;1 Vaga;Servidão 20 de Setembro, 233 - Ingleses do Rio Vermelho, Florianópolis - SC;R$ 1.900 /mês
28;Casa com 4 Quartos para Aluguel, 320m²;68 m²;4 Quartos;4 Banheiros;3 Vagas;Avenida Governador José Boabaid - Santa Mônica, Florianópolis - SC;R$ 9.500 /mês
29;Apartamento com 2 Quartos para Aluguel, 80m²;68;2 Quartos;3 Banheiros;1 Vaga;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 300 /dia
30;Sala/Conjunto para Aluguel, 56m²;56 m²;-- Quarto;1 Banheiro;1 Vaga;Rua Pastor William Richard Schisler Filho, 452 - Itacorubi, Florianópolis - SC;R$ 2.100 /mês
31;Galpão/Depósito/Armazém para Aluguel, 250m²;56;-- Quarto;4 Banheiros;10 Vagas;Saco Grande, Florianópolis - SC;R$ 24.500 /mês
32;Sala/Conjunto para Aluguel, 36m²;117 m²;-- Quarto;1 Banheiro;1 Vaga;Avenida Engenheiro Max de Souza - Coqueiros, Florianópolis - SC;R$ 1.800 /mês
33;Imóvel comercial para Aluguel, 46m²;117;-- Quarto;2 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 980 /mês
34;Casa com 7 Quartos para Aluguel, 300m²;93 m²;7 Quartos;6 Banheiros;-- Vaga;Rua dos Lambari-Guaçu - Jurerê Internacional, Florianópolis - SC;R$ 2.700 /dia
35;Imóvel comercial para Aluguel, 126m²;93;-- Quarto;2 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 2.800 /mês
0;Apartamento com 2 Quartos para Aluguel, 71m²;71 m²;2 Quartos;1 Banheiro;1 Vaga;Rua Felipe Neves, 160 - Canto, Florianópolis - SC;R$ 2.100 /mês
1;Casa com 10 Quartos para Aluguel, 480m²;71;10 Quartos;9 Banheiros;4 Vagas;Avenida das Lagostas, 204 - Jurerê Internacional, Florianópolis - SC;R$ 2.500 /dia
2;Ponto comercial/Loja/Box para Aluguel, 503m²;480 m²;-- Quarto;2 Banheiros;18 Vagas;Rua Lauro Linhares, 1693 - Trindade, Florianópolis - SC;R$ 50.000 /mês
3;Prédio/Edifício inteiro para Aluguel, 5186m²;480;-- Quarto;30 Banheiros;45 Vagas;Rua Adolfo Melo, 34 - Centro, Florianópolis - SC;R$ 225.000 /mês
