;product;area;room;bath;garage;adress;price
26;Apartamento com 3 Quartos para Aluguel, 94m²;150 m²;3 Quartos;3 Banheiros;1 Vaga;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 470 /dia
27;Apartamento com 2 Quartos para Aluguel, 69m²;150;2 Quartos;2 Banheiros;1 Vaga;Itacorubi, Florianópolis - SC;R$ 2.800 /mês
28;Apartamento com 2 Quartos para Aluguel, 75m²;55 m²;2 Quartos;2 Banheiros;1 Vaga;Capoeiras, Florianópolis - SC;R$ 1.850 /mês
29;Apartamento com 3 Quartos para Venda/Aluguel 93m²;55;3 Quartos;2 Banheiros;2 Vagas;Rodovia Jornalista Maurício Sirotsky Sobrinho, 5637 - Jurerê, Florianópolis - SC;"R$ 6.500 /mês
R$ 1.390.000"
30;Imóvel comercial para Aluguel, 62m²;33 m²;-- Quarto;1 Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 4.662 /mês
31;Sala/Conjunto para Aluguel, 560m²;33;-- Quarto;2 Banheiros;-- Vaga;Rua Henrique Valgas, s98 - Centro, Florianópolis - SC;R$ 22.500 /mês
32;Imóvel comercial para Aluguel, 405m²;110 m²;-- Quarto;10 Banheiros;-- Vaga;Centro, Florianópolis - SC;R$ 30.412 /mês
33;Apartamento com Quarto para Aluguel, 35m²;110;1 Quarto;1 Banheiro;1 Vaga;Rua Antônio Heil - Canasvieiras, Florianópolis - SC;R$ 250 /dia
34;Imóvel comercial para Aluguel, 122m²;90 m²;-- Quarto;1 Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 9.175 /mês
35;Apartamento com 2 Quartos para Aluguel, 65m²;90;2 Quartos;1 Banheiro;1 Vaga;Ribeirão da Ilha, Florianópolis - SC;R$ 1.600 /mês
0;Sala/Conjunto para Aluguel, 462m²;462 m²;-- Quarto;8 Banheiros;-- Vaga;Rua Santos Saraiva - Estreito, Florianópolis - SC;R$ 3.000 /mês
1;Prédio/Edificio inteiro para Aluguel, 1009m²;462;-- Quarto;4 Banheiros;8 Vagas;Rua Professora Maria Madalena Moura Ferro, 544 - Estreito, Florianópolis - SC;R$ 22.000 /mês
2;Sala/Conjunto para Aluguel, 71m²;1009 m²;-- Quarto;2 Banheiros;2 Vagas;Coqueiros, Florianópolis - SC;R$ 4.000 /mês
3;Apartamento com 2 Quartos para Aluguel, 75m²;1009;2 Quartos;2 Banheiros;2 Vagas;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 600 /dia
4;Casa com 2 Quartos para Aluguel, 70m²;71 m²;2 Quartos;2 Banheiros;1 Vaga;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 300 /dia
5;Casa com 3 Quartos para Venda/Aluguel 150m²;71;3 Quartos;3 Banheiros;3 Vagas;Ribeirão da Ilha, Florianópolis - SC;"R$ 2.500 /mês
R$ 480.000"
6;Apartamento com 3 Quartos para Aluguel, 89m²;75 m²;3 Quartos;2 Banheiros;2 Vagas;Itacorubi, Florianópolis - SC;R$ 2.950 /mês
7;Kitnet/Conjugado com Quarto para Aluguel, 30m²;75;1 Quarto;1 Banheiro;-- Vaga;Carvoeira, Florianópolis - SC;R$ 1.100 /mês
8;Sala/Conjunto para Aluguel, 153m²;70 m²;-- Quarto;2 Banheiros;1 Vaga;Rua Cristóvão Nunes Pires, 110 - Centro, Florianópolis - SC;R$ 6.400 /mês
9;Apartamento com 2 Quartos para Aluguel, 36m²;70;2 Quartos;1 Banheiro;1 Vaga;Avenida César Seara - Carvoeira, Florianópolis - SC;R$ 1.900 /mês
10;Sala/Conjunto para Aluguel, 60m²;150 m²;-- Quarto;1 Banheiro;1 Vaga;Avenida Rio Branco - Centro, Florianópolis - SC;R$ 1.900 /mês
11;Casa com 8 Quartos para Venda/Aluguel 700m²;150;8 Quartos;10 Banheiros;15 Vagas;Avenida Luiz Boiteux Piazza, 3112 - Ponta das Canas, Florianópolis - SC;"R$ 10.000 /dia
R$ 10.000.000"
12;Sala/Conjunto para Aluguel, 120m²;89 m²;-- Quarto;-- Banheiro;1 Vaga;Centro, Florianópolis - SC;R$ 5.000 /mês
13;Kitnet/Conjugado com Quarto para Aluguel, 30m²;89;1 Quarto;1 Banheiro;-- Vaga;Carvoeira, Florianópolis - SC;R$ 1.100 /mês
14;Sala/Conjunto para Aluguel, 40m²;30 m²;-- Quarto;1 Banheiro;1 Vaga;Rua General Liberato Bittencourt, 1475 - Canto, Florianópolis - SC;R$ 2.197 /mês
15;Sala/Conjunto para Aluguel, 50m²;30;-- Quarto;-- Banheiro;1 Vaga;Rua Pedro Cunha, 158 - Capoeiras, Florianópolis - SC;R$ 950 /mês
16;Imóvel comercial para Aluguel, 107m²;153 m²;-- Quarto;1 Banheiro;-- Vaga;Centro, Florianópolis - SC;R$ 8.036 /mês
17;Casa com 3 Quartos para Aluguel, 100m²;153;3 Quartos;3 Banheiros;2 Vagas;Rua das Piraúnas - Jurerê Internacional, Florianópolis - SC;R$ 2.200 /dia
18;Sala/Conjunto para Aluguel, 31m²;36 m²;-- Quarto;1 Banheiro;1 Vaga;Rua Esteves Júnior, 50 - Centro, Florianópolis - SC;R$ 1.280 /mês
19;Ponto comercial/Loja/Box para Aluguel, 100m²;36;-- Quarto;2 Banheiros;2 Vagas;Pantanal, Florianópolis - SC;R$ 12.000 /mês
20;Sala/Conjunto para Aluguel, 51m²;60 m²;-- Quarto;1 Banheiro;-- Vaga;Avenida Prefeito Osmar Cunha, 416 - Centro, Florianópolis - SC;R$ 388.650 /mês
21;Sala/Conjunto para Aluguel, 64m²;60;-- Quarto;-- Banheiro;1 Vaga;Estreito, Florianópolis - SC;R$ 4.169 /mês
22;Sala/Conjunto para Aluguel, 183m²;700 m²;-- Quarto;1 Banheiro;-- Vaga;Rua Henrique Valgas - Centro, Florianópolis - SC;R$ 10.900 /mês
23;Apartamento com 3 Quartos para Aluguel, 160m²;700;3 Quartos;4 Banheiros;1 Vaga;Avenida Jornalista Rubens de Arruda Ramos, 1198 - Centro, Florianópolis - SC;R$ 5.500 /mês
24;Apartamento com 3 Quartos para Venda/Aluguel 103m²;120 m²;3 Quartos;3 Banheiros;3 Vagas;Rua Antônio Gomes - Estreito, Florianópolis - SC;"R$ 8.000 /mês
R$ 1.590.000"
25;Sala/Conjunto para Aluguel, 183m²;120;-- Quarto;2 Banheiros;-- Vaga;Rua Henrique Valgas, s98 - Centro, Florianópolis - SC;R$ 35.168 /mês
26;Sala/Conjunto para Aluguel, 183m²;30 m²;-- Quarto;2 Banheiros;-- Vaga;Rua Henrique Valgas, s98 - Centro, Florianópolis - SC;R$ 10.900 /mês
27;Apartamento com 3 Quartos para Aluguel, 300m²;30;3 Quartos;3 Banheiros;2 Vagas;Avenida Governador Irineu Bornhausen - Beira Mar, Florianópolis - SC;R$ 9.950 /mês
28;Apartamento com 2 Quartos para Aluguel, 78m²;40 m²;2 Quartos;2 Banheiros;2 Vagas;Rua João Carvalho - Agronômica, Florianópolis - SC;R$ 2.700 /mês
29;Apartamento com Quarto para Aluguel, 59m²;40;1 Quarto;1 Banheiro;1 Vaga;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 360 /dia
30;Apartamento com 3 Quartos para Aluguel, 88m²;50 m²;3 Quartos;2 Banheiros;1 Vaga;Rua Professor Clementino de Brito, 205 - Capoeiras, Florianópolis - SC;R$ 2.500 /mês
31;Apartamento com Quarto para Aluguel, 48m²;50;1 Quarto;1 Banheiro;1 Vaga;Ingleses do Rio Vermelho, Florianópolis - SC;R$ 300 /dia
32;Sala/Conjunto para Aluguel, 445m²;107 m²;-- Quarto;-- Banheiro;-- Vaga;Santo Antônio de Lisboa, Florianópolis - SC;R$ 17.800 /mês
33;Imóvel comercial para Aluguel, 174m²;107;-- Quarto;3 Banheiros;8 Vagas;Rua Sérgio Rogério Beims - Santa Mônica, Florianópolis - SC;R$ 7.800 /mês
